id,uuid,name,description,plan_type_id,plan_status_id,price,display_order,yearly_plan_id,minimum_charge,includes_studio_management,currency_code,created,created_by,last_updated,last_updated_user_id
10,f18d726c-4801-4f4b-b7c8-543de039ad29,Free Plan 250,"",1,2,0.000,1,,,0,USD,2010-10-31 22:04:02.000000,2,2015-02-09 22:17:17.000000,233
63,7dd36514-1e2f-4ecc-aa71-d9957f79164c,Sports & Action,115 songs,5,1,5.000,1,57,,0,USD,2014-02-23 20:02:56.000000,233,2014-02-23 20:10:37.000000,233
122,aa680636-ed86-4f01-a618-6d30605492e9,"Plan 25,000","",3,1,270.000,3,,,1,EUR,2016-08-29 10:48:56.000000,,,
31,d706dce0-748c-4276-a681-4899b45ba705,"Partner Company (25,000)","",1,2,0.000,33,,,1,USD,2012-11-17 13:42:19.000000,234,2016-07-25 20:31:45.000000,234
58,d0c40e5c-2d88-45fa-a07f-434f3ccdd1a6,Ultimate (all songs),All songs,5,1,10.000,1,52,,0,USD,2014-02-23 19:58:37.000000,233,2015-02-18 19:10:27.000000,48172
130,b3319d56-d889-437f-8017-f24f28f2701c,Ultimate (all songs),All Triple Scoop Music songs,6,1,100.000,1,,,0,EUR,2016-08-29 10:48:56.000000,,,
258,bba53b9b-b55f-4db8-99a0-69a79950b855,"900,000 Yearly Plan","900,000 yearly photo plan for volume studios",3,2,4500.000,128,,,1,USD,2019-02-05 20:27:51.000000,27817,,
288,caac60d6-c120-468f-8636-06e809c9ae3d,BF CD Unlimited Monthly,This is a special plan created for Black Friday 2020.,7,2,65.000,255,,,1,CAD,2020-09-30 13:11:10.000000,66651,,
149,e98affe2-1bf4-49d1-99bf-aeb4d687a99f,"Plan 50,000","",3,1,500.000,4,,,1,CAD,2016-08-29 10:48:57.000000,,,
26,5d2c5899-f610-4396-bc42-cc1e2328738c,Uchida Storage Plan,"",4,2,0.325,1,,25.00,1,USD,2012-02-02 21:23:47.000000,233,2015-04-29 18:20:58.000000,27817
